START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
17-SEP-2013,TUESDAY,1,154706,86076
17-SEP-2013,TUESDAY,1,154706,89623
17-SEP-2013,TUESDAY,1,157451,85161
17-SEP-2013,TUESDAY,2,108291,89560
17-SEP-2013,TUESDAY,2,136221,87919
17-SEP-2013,TUESDAY,2,147042,87254
17-SEP-2013,TUESDAY,3,110571,86282
17-SEP-2013,TUESDAY,3,110651,86218
17-SEP-2013,TUESDAY,3,126776,86283
17-SEP-2013,TUESDAY,3,127061,86243
17-SEP-2013,TUESDAY,3,134956,87271
17-SEP-2013,TUESDAY,3,201138,87596
18-SEP-2013,WEDNESDAY,1,118741,89177
18-SEP-2013,WEDNESDAY,1,157466,88643
18-SEP-2013,WEDNESDAY,1,157551,84449
18-SEP-2013,WEDNESDAY,2,100796,90079
18-SEP-2013,WEDNESDAY,2,100861,88294
18-SEP-2013,WEDNESDAY,2,154741,85959
18-SEP-2013,WEDNESDAY,2,190776,90574
18-SEP-2013,WEDNESDAY,2,201066,89202
18-SEP-2013,WEDNESDAY,3,118881,89065
18-SEP-2013,WEDNESDAY,3,154686,85963
18-SEP-2013,WEDNESDAY,3,154756,85960
18-SEP-2013,WEDNESDAY,3,157556,85249
19-SEP-2013,THURSDAY,1,111101,86767
19-SEP-2013,THURSDAY,1,154706,86076
19-SEP-2013,THURSDAY,1,154706,89623
19-SEP-2013,THURSDAY,1,157451,85161
19-SEP-2013,THURSDAY,2,136221,87919
19-SEP-2013,THURSDAY,2,147042,87254
19-SEP-2013,THURSDAY,2,153816,86593
19-SEP-2013,THURSDAY,3,110571,86282
19-SEP-2013,THURSDAY,3,110651,86218
19-SEP-2013,THURSDAY,3,126776,86283
19-SEP-2013,THURSDAY,3,127061,86243
19-SEP-2013,THURSDAY,3,134956,87271
19-SEP-2013,THURSDAY,3,201138,87596
20-SEP-2013,FRIDAY,2,154016,86609
20-SEP-2013,FRIDAY,3,136041,87891
23-SEP-2013,MONDAY,1,118741,89175
23-SEP-2013,MONDAY,1,118926,89592
23-SEP-2013,MONDAY,1,118931,89602
23-SEP-2013,MONDAY,1,121546,89337
23-SEP-2013,MONDAY,1,157466,88643
23-SEP-2013,MONDAY,1,157551,84449
23-SEP-2013,MONDAY,2,100796,90079
23-SEP-2013,MONDAY,2,100861,88294
23-SEP-2013,MONDAY,2,154741,85959
23-SEP-2013,MONDAY,2,201066,89202
23-SEP-2013,MONDAY,3,105911,87522
23-SEP-2013,MONDAY,3,154686,85963
23-SEP-2013,MONDAY,3,154756,85960
23-SEP-2013,MONDAY,3,157556,85249
23-SEP-2013,MONDAY,3,158706,87981
24-SEP-2013,TUESDAY,1,111101,86767
24-SEP-2013,TUESDAY,1,118836,89049
24-SEP-2013,TUESDAY,1,154706,86076
24-SEP-2013,TUESDAY,1,154706,89623
24-SEP-2013,TUESDAY,1,157451,85161
24-SEP-2013,TUESDAY,2,108291,89560
24-SEP-2013,TUESDAY,2,136221,87919
24-SEP-2013,TUESDAY,2,147042,87254
24-SEP-2013,TUESDAY,3,110571,86282
24-SEP-2013,TUESDAY,3,110651,86218
24-SEP-2013,TUESDAY,3,126776,86283
24-SEP-2013,TUESDAY,3,127061,86243
24-SEP-2013,TUESDAY,3,134956,87271
24-SEP-2013,TUESDAY,3,201138,87596
25-SEP-2013,WEDNESDAY,1,118741,89177
25-SEP-2013,WEDNESDAY,1,157466,88643
25-SEP-2013,WEDNESDAY,1,157551,84449
25-SEP-2013,WEDNESDAY,2,100796,90079
25-SEP-2013,WEDNESDAY,2,100861,88294
25-SEP-2013,WEDNESDAY,2,154741,85959
25-SEP-2013,WEDNESDAY,2,190776,90574
25-SEP-2013,WEDNESDAY,2,201066,89202
25-SEP-2013,WEDNESDAY,3,118881,89065
25-SEP-2013,WEDNESDAY,3,154686,85963
25-SEP-2013,WEDNESDAY,3,154756,85960
25-SEP-2013,WEDNESDAY,3,157556,85249
26-SEP-2013,THURSDAY,1,111101,86767
26-SEP-2013,THURSDAY,1,154706,86076
26-SEP-2013,THURSDAY,1,154706,89623
26-SEP-2013,THURSDAY,1,157451,85161
26-SEP-2013,THURSDAY,2,136221,87919
26-SEP-2013,THURSDAY,2,147042,87254
26-SEP-2013,THURSDAY,2,153816,86593
26-SEP-2013,THURSDAY,3,110571,86282
26-SEP-2013,THURSDAY,3,110651,86218
26-SEP-2013,THURSDAY,3,126776,86283
26-SEP-2013,THURSDAY,3,127061,86243
26-SEP-2013,THURSDAY,3,134956,87271
